,title,seed,test_size,epochs,test_acc,train_acc
229,BasicModelSmall_256dim_0.4ts_230seed_both,230,0.4,9999,1.0,1.0
230,BasicModelSmall_256dim_0.41ts_231seed_both,231,0.41,9999,0.9999999403953552,1.0
231,BasicModelSmall_256dim_0.42ts_232seed_both,232,0.42,9999,1.0,1.0
232,BasicModelSmall_256dim_0.43ts_233seed_both,233,0.43,9999,1.0,1.0
233,BasicModelSmall_256dim_0.44ts_234seed_both,234,0.44,9999,1.0,0.9999999403953552
234,BasicModelSmall_256dim_0.45ts_235seed_both,235,0.45,9999,1.0,1.0
235,BasicModelSmall_256dim_0.46ts_236seed_both,236,0.46,9999,0.9999999403953552,1.0
236,BasicModelSmall_256dim_0.47ts_237seed_both,237,0.47,9999,0.9999999403953552,1.0
237,BasicModelSmall_256dim_0.48ts_238seed_both,238,0.48,9999,1.0,1.0
238,BasicModelSmall_256dim_0.49ts_239seed_both,239,0.49,9999,1.0,1.0
239,BasicModelSmall_256dim_0.5ts_240seed_both,240,0.5,9999,1.0,1.0
240,BasicModelSmall_256dim_0.51ts_241seed_both,241,0.51,9999,1.0,0.9999999403953552
241,BasicModelSmall_256dim_0.52ts_242seed_both,242,0.52,9999,1.0,1.0
242,BasicModelSmall_256dim_0.53ts_243seed_both,243,0.53,9999,0.9999999403953552,1.0
243,BasicModelSmall_256dim_0.54ts_244seed_both,244,0.54,9999,1.0,1.0
244,BasicModelSmall_256dim_0.55ts_245seed_both,245,0.55,9999,1.0,1.0
245,BasicModelSmall_256dim_0.56ts_246seed_both,246,0.56,9999,0.9999999403953552,1.0
246,BasicModelSmall_256dim_0.57ts_247seed_both,247,0.57,9999,0.9999999403953552,1.0
247,BasicModelSmall_256dim_0.58ts_248seed_both,248,0.58,9999,1.0,1.0
248,BasicModelSmall_256dim_0.59ts_249seed_both,249,0.59,9999,1.0,1.0
249,BasicModelSmall_256dim_0.6ts_250seed_both,250,0.6,9999,1.0,1.0
250,BasicModelSmall_256dim_0.61ts_251seed_both,251,0.61,9999,0.9991176128387451,1.0
251,BasicModelSmall_256dim_0.62ts_252seed_both,252,0.62,9999,1.0,1.0
252,BasicModelSmall_256dim_0.63ts_253seed_both,253,0.63,9999,0.998328685760498,1.0
253,BasicModelSmall_256dim_0.64ts_254seed_both,254,0.64,9999,0.9872315526008606,1.0
254,BasicModelSmall_256dim_0.65ts_255seed_both,255,0.65,9999,0.995439887046814,1.0
255,BasicModelSmall_256dim_0.66ts_256seed_both,256,0.66,9999,0.9944000244140625,1.0
256,BasicModelSmall_256dim_0.67ts_257seed_both,257,0.67,9999,0.9972542524337769,1.0
257,BasicModelSmall_256dim_0.68ts_258seed_both,258,0.68,9999,0.9930015206336975,0.9999999403953552
258,BasicModelSmall_256dim_0.69ts_259seed_both,259,0.69,9999,0.9955867528915405,1.0
259,BasicModelSmall_256dim_0.7ts_260seed_both,260,0.7,9999,0.9853683114051819,1.0
260,BasicModelSmall_256dim_0.71ts_261seed_both,261,0.71,9999,0.9697045683860779,1.0
261,BasicModelSmall_256dim_0.72ts_262seed_both,262,0.72,9999,0.971674919128418,1.0
262,BasicModelSmall_256dim_0.73ts_263seed_both,263,0.73,9999,0.964946448802948,1.0
263,BasicModelSmall_256dim_0.74ts_264seed_both,264,0.74,9999,0.9610390067100525,1.0
264,BasicModelSmall_256dim_0.75ts_265seed_both,265,0.75,9999,0.9625769853591919,1.0
265,BasicModelSmall_256dim_0.76ts_266seed_both,266,0.76,9999,0.902512788772583,0.9999999403953552
266,BasicModelSmall_256dim_0.77ts_267seed_both,267,0.77,9999,0.9151951670646667,1.0
267,BasicModelSmall_256dim_0.78ts_268seed_both,268,0.78,9999,0.8831319808959961,1.0
268,BasicModelSmall_256dim_0.79ts_269seed_both,269,0.79,9999,0.8555304408073425,1.0
269,BasicModelSmall_256dim_0.8ts_270seed_both,270,0.8,9999,0.6934065818786621,1.0
270,BasicModelSmall_256dim_0.81ts_271seed_both,271,0.81,9999,0.6631004810333252,1.0
271,BasicModelSmall_256dim_0.82ts_272seed_both,272,0.82,9999,0.695143461227417,1.0
272,BasicModelSmall_256dim_0.83ts_273seed_both,273,0.83,9999,0.2558535635471344,0.9999999403953552
273,BasicModelSmall_256dim_0.84ts_274seed_both,274,0.84,9999,0.53147292137146,1.0
274,BasicModelSmall_256dim_0.85ts_275seed_both,275,0.85,9999,0.24658668041229248,1.0
275,BasicModelSmall_256dim_0.86ts_276seed_both,276,0.86,9999,0.00020678246801253408,1.0
276,BasicModelSmall_256dim_0.87ts_277seed_both,277,0.87,9999,0.0,1.0
277,BasicModelSmall_256dim_0.88ts_278seed_both,278,0.88,9999,0.0002019386156462133,1.0
278,BasicModelSmall_256dim_0.89ts_279seed_both,279,0.89,9999,0.0005995203973725438,0.9999999403953552
279,BasicModelSmall_256dim_0.9ts_280seed_both,280,0.9,9999,0.0009827043395489454,1.0
280,BasicModelSmall_256dim_0.91ts_281seed_both,281,0.91,9999,0.0007818608428351581,1.0
281,BasicModelSmall_256dim_0.92ts_282seed_both,282,0.92,9999,0.0011609906796365976,1.0
282,BasicModelSmall_256dim_0.93ts_283seed_both,283,0.93,9999,0.0026995758526027203,1.0
283,BasicModelSmall_256dim_0.94ts_284seed_both,284,0.94,9999,0.0026515149511396885,1.0
284,BasicModelSmall_256dim_0.95ts_285seed_both,285,0.95,9999,0.0018789928872138262,1.0
