n,z,excess
59,49,-84119.819
58,50,-82069.938
57,51,-72445.331
56,52,-65781.667
55,53,-52649.605
68,41,-56689.794
67,42,-66665.996
66,43,-74282.775
65,44,-80738.401
64,45,-84999.455
63,46,-87606.476
62,47,-88719.426
61,48,-88504.321
60,49,-86489.511
59,50,-82630.184
58,51,-76250.977
57,52,-67715.390
56,53,-57672.496
55,54,-46169.548
69,41,-52309.909
68,42,-64542.585
67,43,-71034.510
66,44,-80072.576
65,45,-82828.686
64,46,-88330.905
63,47,-87457.302
62,48,-90347.969
61,49,-86469.969
60,50,-85841.983
59,51,-77449.734
58,52,-72229.811
57,53,-60464.176
56,54,-51922.625
69,42,-59939.761
68,43,-69024.622
67,44,-76785.271
66,45,-82304.452
65,46,-85985.888
64,47,-88215.447
63,48,-89252.247
62,49,-88392.043
61,50,-85938.587
60,51,-80836.736
59,52,-73587.477
58,53,-64953.785
57,54,-54395.534
69,43,-65258.938
68,44,-75630.818
67,45,-79731.503
66,46,-86321.562
65,47,-86583.718
64,48,-90574.859
63,49,-87990.131
62,50,-88655.056
61,51,-81598.965
60,52,-77567.508
59,53,-67063.330
58,54,-60026.338
57,55,-46290.277
70,43,-62811.541
69,44,-71868.119
68,45,-78767.536
67,46,-83591.092
66,47,-87026.822
65,48,-89043.284
64,49,-89367.117
63,50,-88328.132
62,51,-84416.968
61,52,-78347.029
60,53,-71119.507
59,54,-62203.618
58,55,-51764.530
71,43,-58600.288
70,44,-70221.811
69,45,-75710.625
68,46,-83490.943
67,47,-84930.800
66,48,-90014.932
65,49,-88569.801
64,50,-90559.723
63,51,-84496.574
62,52,-81888.569
60,54,-67085.890
59,55,-54682.261
58,56,-45905.426
72,43,-56319.990
71,44,-66189.734
70,45,-74229.831
69,46,-80426.386
68,47,-84982.654
67,48,-88084.479
66,49,-89536.346
65,50,-90033.835
64,51,-87003.403
63,52,-82062.759
62,53,-76337.797
61,54,-68656.748
72,44,-64068.909
71,45,-70736.122
70,46,-79831.635
69,47,-82542.653
68,48,-88712.480
67,49,-88249.749
66,50,-91525.970
65,51,-86822.150
64,52,-85268.961
63,53,-77492.236
62,54,-73046.724
73,44,-59489.865
72,45,-68897.373
71,46,-76424.477
70,47,-82182.014
69,48,-86418.389
68,49,-88943.042
67,50,-90397.751
66,51,-88639.539
65,52,-85095.411
64,53,-80436.077
63,54,-74185.337
62,55,-66493.092
61,56,-57457.753
73,45,-64887.460
72,46,-75388.746
71,47,-79553.792
70,48,-86701.641
69,49,-87228.211
68,50,-91652.853
67,51,-87996.213
66,52,-87696.584
65,53,-80971.048
64,54,-78079.057
63,55,-68409.367
74,45,-62822.794
73,46,-71407.902
72,47,-78645.765
71,48,-83977.068
70,49,-87699.281
69,50,-90065.022
68,51,-89474.180
67,52,-87181.180
66,53,-83765.530
65,54,-78794.413
64,55,-72305.051
63,56,-64590.086
74,46,-70280.050
73,47,-75651.502
72,48,-83957.354
71,49,-85728.369
70,50,-91098.369
69,51,-88417.761
68,52,-89367.987
67,53,-83752.987
66,54,-82172.423
65,55,-73888.639
64,56,-68888.639
76,45,-56250.128
75,46,-66182.329
74,47,-74402.821
73,48,-81073.826
72,49,-85835.974
71,50,-89197.265
70,51,-89600.321
69,52,-88545.502
68,53,-86251.449
67,54,-82480.986
66,55,-77102.331
65,56,-70744.837
76,46,-64616.161
75,47,-71106.108
74,48,-80612.374
73,49,-83572.741
72,50,-89941.333
